global_step,grad_norm,loss,train/accuracy,train/loss,train/bleu,validation/accuracy,validation/loss,validation/bleu,validation/num_examples,test/accuracy,test/loss,test/bleu,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
19800,0.20230013,1.6888835,,,,,,,,,,,,,,,,,
19900,0.16503909,1.7038552,,,,,,,,,,,,,,,,,
20000,0.17317033,1.647208,,,,,,,,,,,,,,,,,
20100,0.18361871,1.6813256,,,,,,,,,,,,,,,,,
20200,0.17300527,1.7405044,,,,,,,,,,,,,,,,,
20300,0.19129193,1.7143297,,,,,,,,,,,,,,,,,
20400,0.16618039,1.7000061,,,,,,,,,,,,,,,,,
20500,0.17781222,1.769332,,,,,,,,,,,,,,,,,
20600,0.23744562,1.6927418,,,,,,,,,,,,,,,,,
20700,0.18126743,1.7850764,,,,,,,,,,,,,,,,,
20800,0.16976829,1.6874267,,,,,,,,,,,,,,,,,
20900,0.18182991,1.7062547,,,,,,,,,,,,,,,,,
21000,0.21972466,1.6824274,,,,,,,,,,,,,,,,,
21100,0.1779743,1.7395666,,,,,,,,,,,,,,,,,
21200,0.18193468,1.662936,,,,,,,,,,,,,,,,,
21300,0.18358101,1.759065,,,,,,,,,,,,,,,,,
21400,0.21515547,1.7086236,,,,,,,,,,,,,,,,,
21500,0.18426754,1.6790963,,,,,,,,,,,,,,,,,
21600,0.20345818,1.7485241,,,,,,,,,,,,,,,,,
21700,0.1883675,1.6133685,,,,,,,,,,,,,,,,,
21800,0.19182761,1.6381401,,,,,,,,,,,,,,,,,
21900,0.18295752,1.6502347,,,,,,,,,,,,,,,,,
22000,0.2123532,1.7638414,,,,,,,,,,,,,,,,,
22100,0.1881463,1.8048809,,,,,,,,,,,,,,,,,
22200,0.1981944,1.7624439,,,,,,,,,,,,,,,,,
22300,0.179808,1.6669118,,,,,,,,,,,,,,,,,
22400,0.1962439,1.7411152,,,,,,,,,,,,,,,,,
22500,0.1988544,1.6582569,,,,,,,,,,,,,,,,,
22600,0.1843677,1.7426132,,,,,,,,,,,,,,,,,
22700,0.17156559,1.6742064,,,,,,,,,,,,,,,,,
22800,0.1904871,1.6833286,,,,,,,,,,,,,,,,,
22900,0.1808087,1.6870611,,,,,,,,,,,,,,,,,
23000,0.17456448,1.6414988,,,,,,,,,,,,,,,,,
23100,0.17772692,1.6469221,,,,,,,,,,,,,,,,,
23200,0.20064604,1.7221451,,,,,,,,,,,,,,,,,
23300,0.19054471,1.7422183,,,,,,,,,,,,,,,,,
23400,0.1977675,1.6423073,,,,,,,,,,,,,,,,,
23500,0.19981483,1.6155882,,,,,,,,,,,,,,,,,
23600,0.2383176,1.8248798,,,,,,,,,,,,,,,,,
23700,0.22143047,1.791744,,,,,,,,,,,,,,,,,
23800,0.20407622,1.6104811,,,,,,,,,,,,,,,,,
23884,,,0.6627200841903687,1.59264075756073,32.5179090559272,0.6732960343360901,1.5186550617218018,29.14179467189709,3000.0,0.6855964660644531,1.430701494216919,28.786566538461607,3003.0,3277.9665648937225,7036.656210899353,3277.9665648937225,3758.3315513134,0.1737842559814453,0.0
23900,0.18403447,1.6807853,,,,,,,,,,,,,,,,,
24000,0.20966616,1.7672206,,,,,,,,,,,,,,,,,
24100,0.17050447,1.5994525,,,,,,,,,,,,,,,,,
24200,0.18699206,1.8035537,,,,,,,,,,,,,,,,,
24300,0.19225578,1.6785748,,,,,,,,,,,,,,,,,
24400,0.1788525,1.6579283,,,,,,,,,,,,,,,,,
24500,0.20118739,1.6187394,,,,,,,,,,,,,,,,,
24600,0.18640597,1.6739931,,,,,,,,,,,,,,,,,
24700,0.19524075,1.626859,,,,,,,,,,,,,,,,,
24800,0.18898164,1.6872057,,,,,,,,,,,,,,,,,
24900,0.27138385,1.7255701,,,,,,,,,,,,,,,,,
25000,0.2057159,1.6720517,,,,,,,,,,,,,,,,,
25100,0.25279516,1.6985453,,,,,,,,,,,,,,,,,
25200,0.22413856,1.6591772,,,,,,,,,,,,,,,,,
25300,0.24327382,1.7108359,,,,,,,,,,,,,,,,,
25400,0.27953213,1.6508446,,,,,,,,,,,,,,,,,
25500,0.19707768,1.7165008,,,,,,,,,,,,,,,,,
25600,0.21658728,1.7134087,,,,,,,,,,,,,,,,,
25700,0.22063898,1.6941926,,,,,,,,,,,,,,,,,
25800,0.2280563,1.6585367,,,,,,,,,,,,,,,,,
25900,0.18504693,1.719969,,,,,,,,,,,,,,,,,
26000,0.2230036,1.664088,,,,,,,,,,,,,,,,,
26100,0.1959613,1.6740332,,,,,,,,,,,,,,,,,
26200,0.19245005,1.713065,,,,,,,,,,,,,,,,,
26300,0.20786938,1.6335326,,,,,,,,,,,,,,,,,
26400,0.19450262,1.6642774,,,,,,,,,,,,,,,,,
26500,0.23171061,1.6475586,,,,,,,,,,,,,,,,,
26600,0.18707371,1.7164422,,,,,,,,,,,,,,,,,
26700,0.21145312,1.6734426,,,,,,,,,,,,,,,,,
26800,0.19344229,1.6602933,,,,,,,,,,,,,,,,,
26900,0.2555625,1.728963,,,,,,,,,,,,,,,,,
27000,0.2180194,1.7319338,,,,,,,,,,,,,,,,,
27100,0.23295243,1.6293787,,,,,,,,,,,,,,,,,
27200,0.22291707,1.6930755,,,,,,,,,,,,,,,,,
27300,0.24860954,1.6806308,,,,,,,,,,,,,,,,,
27400,0.19910395,1.6720388,,,,,,,,,,,,,,,,,
27500,0.25387716,1.6931632,,,,,,,,,,,,,,,,,
27600,0.200585,1.5786785,,,,,,,,,,,,,,,,,
27700,0.19586955,1.7350904,,,,,,,,,,,,,,,,,
27800,0.20693378,1.6921027,,,,,,,,,,,,,,,,,
27900,0.22455399,1.6408093,,,,,,,,,,,,,,,,,
28000,0.20824024,1.6328589,,,,,,,,,,,,,,,,,
28100,0.19792508,1.6901922,,,,,,,,,,,,,,,,,
28200,0.2635199,1.6392262,,,,,,,,,,,,,,,,,
28300,0.20765506,1.6183393,,,,,,,,,,,,,,,,,
28400,0.20852041,1.6733794,,,,,,,,,,,,,,,,,
28500,0.18710917,1.5682677,,,,,,,,,,,,,,,,,
28600,0.19141544,1.6856087,,,,,,,,,,,,,,,,,
28700,0.2154823,1.7710426,,,,,,,,,,,,,,,,,
28746,,,0.667296290397644,1.5548173189163208,33.13076477696681,0.6772513389587402,1.4914456605911257,29.28973893183547,3000.0,0.6900238394737244,1.3999899625778198,29.12806813475475,3003.0,3921.906396389008,8271.271698713303,3921.906396389008,4348.932141542435,0.2105262279510498,0.0
28800,0.21240038,1.6858767,,,,,,,,,,,,,,,,,
28900,0.20700276,1.6731342,,,,,,,,,,,,,,,,,
29000,0.20204495,1.6654738,,,,,,,,,,,,,,,,,
29100,0.21337806,1.6325277,,,,,,,,,,,,,,,,,
29200,0.20601958,1.6761065,,,,,,,,,,,,,,,,,
29300,0.19049197,1.6826732,,,,,,,,,,,,,,,,,
29400,0.21335727,1.7224476,,,,,,,,,,,,,,,,,
29500,0.18916331,1.6637545,,,,,,,,,,,,,,,,,
29600,0.19533677,1.6996902,,,,,,,,,,,,,,,,,
29700,0.19961211,1.5876833,,,,,,,,,,,,,,,,,
29800,0.20310818,1.7505172,,,,,,,,,,,,,,,,,
29900,0.19681144,1.5959426,,,,,,,,,,,,,,,,,
30000,0.22133331,1.7370101,,,,,,,,,,,,,,,,,
30100,0.20711213,1.6539059,,,,,,,,,,,,,,,,,
30200,0.22462682,1.636569,,,,,,,,,,,,,,,,,
30300,0.2673055,1.7040802,,,,,,,,,,,,,,,,,
30400,0.20926118,1.6654074,,,,,,,,,,,,,,,,,
30500,0.2088004,1.6202726,,,,,,,,,,,,,,,,,
30600,0.24412449,1.6323701,,,,,,,,,,,,,,,,,
30700,0.19692682,1.6258919,,,,,,,,,,,,,,,,,
30800,0.19438633,1.5993197,,,,,,,,,,,,,,,,,
30900,0.19475123,1.6631441,,,,,,,,,,,,,,,,,
31000,0.21597166,1.6875267,,,,,,,,,,,,,,,,,
31100,0.19197294,1.6269602,,,,,,,,,,,,,,,,,
31200,0.24741673,1.7026073,,,,,,,,,,,,,,,,,
31300,0.2069527,1.6763967,,,,,,,,,,,,,,,,,
31400,0.21060945,1.667473,,,,,,,,,,,,,,,,,
31500,0.20178106,1.6871946,,,,,,,,,,,,,,,,,
31600,0.21110086,1.6265389,,,,,,,,,,,,,,,,,
31700,0.28610423,1.6739206,,,,,,,,,,,,,,,,,
31800,0.21140772,1.5672503,,,,,,,,,,,,,,,,,
31900,0.2227036,1.696716,,,,,,,,,,,,,,,,,
32000,0.1995525,1.606466,,,,,,,,,,,,,,,,,
32100,0.21720015,1.6629435,,,,,,,,,,,,,,,,,
32200,0.21406655,1.6391125,,,,,,,,,,,,,,,,,
32300,0.20777997,1.6190238,,,,,,,,,,,,,,,,,
32400,0.21086961,1.7037228,,,,,,,,,,,,,,,,,
32500,0.1991309,1.5512772,,,,,,,,,,,,,,,,,
32600,0.20093189,1.5855786,,,,,,,,,,,,,,,,,
32700,0.21054137,1.7138315,,,,,,,,,,,,,,,,,
32800,0.24094863,1.6276023,,,,,,,,,,,,,,,,,
32900,0.20177612,1.643477,,,,,,,,,,,,,,,,,
33000,0.23320878,1.6372215,,,,,,,,,,,,,,,,,
33100,0.21849306,1.603011,,,,,,,,,,,,,,,,,
33200,0.20094982,1.6767501,,,,,,,,,,,,,,,,,
33300,0.20452023,1.6302003,,,,,,,,,,,,,,,,,
33400,0.21029143,1.5834283,,,,,,,,,,,,,,,,,
33500,0.23119196,1.558467,,,,,,,,,,,,,,,,,
33600,0.22907914,1.7268256,,,,,,,,,,,,,,,,,
33607,,,0.6699031591415405,1.5379674434661863,33.75148614545869,0.680747926235199,1.470376968383789,29.502129687902944,3000.0,0.6941491365432739,1.3759589195251465,29.499428153682548,3003.0,4565.861212491989,9501.463837623596,4565.861212491989,4935.091288089752,0.2498927116394043,0.0
33700,0.21029727,1.6149367,,,,,,,,,,,,,,,,,
33800,0.22769703,1.629994,,,,,,,,,,,,,,,,,
33900,0.20446625,1.5533879,,,,,,,,,,,,,,,,,
34000,0.19743337,1.5910792,,,,,,,,,,,,,,,,,
34100,0.25238046,1.6867622,,,,,,,,,,,,,,,,,
34200,0.2148044,1.668239,,,,,,,,,,,,,,,,,
34300,0.21263175,1.6646932,,,,,,,,,,,,,,,,,
34400,0.21093468,1.7240747,,,,,,,,,,,,,,,,,
34500,0.21508016,1.572266,,,,,,,,,,,,,,,,,
34600,0.2132272,1.6441892,,,,,,,,,,,,,,,,,
34700,0.23634693,1.6265867,,,,,,,,,,,,,,,,,
34800,0.20261306,1.6370068,,,,,,,,,,,,,,,,,
34900,0.21098433,1.5756769,,,,,,,,,,,,,,,,,
35000,0.2689063,1.6969291,,,,,,,,,,,,,,,,,
35100,0.23845859,1.5678279,,,,,,,,,,,,,,,,,
35200,0.2318146,1.64438,,,,,,,,,,,,,,,,,
35300,0.23173837,1.6291484,,,,,,,,,,,,,,,,,
35400,0.8465459,1.7226729,,,,,,,,,,,,,,,,,
35500,0.20737381,1.6300939,,,,,,,,,,,,,,,,,
35600,0.20936748,1.6160746,,,,,,,,,,,,,,,,,
35700,0.28677472,1.6181533,,,,,,,,,,,,,,,,,
35800,0.21028416,1.5871722,,,,,,,,,,,,,,,,,
35900,0.21958749,1.5517821,,,,,,,,,,,,,,,,,
36000,0.2274421,1.6470805,,,,,,,,,,,,,,,,,
36100,0.21253748,1.650784,,,,,,,,,,,,,,,,,
36200,0.20801844,1.5571502,,,,,,,,,,,,,,,,,
36300,0.23494922,1.6356956,,,,,,,,,,,,,,,,,
36400,0.20412485,1.6148043,,,,,,,,,,,,,,,,,
36500,0.21207322,1.6250799,,,,,,,,,,,,,,,,,
36600,0.19655006,1.5611107,,,,,,,,,,,,,,,,,
36700,0.22286925,1.5544276,,,,,,,,,,,,,,,,,
36800,0.24227034,1.6411961,,,,,,,,,,,,,,,,,
36900,0.21307336,1.6466082,,,,,,,,,,,,,,,,,
37000,0.20932043,1.5751512,,,,,,,,,,,,,,,,,
37100,0.23100811,1.6570846,,,,,,,,,,,,,,,,,
37200,0.22818151,1.6031619,,,,,,,,,,,,,,,,,
37300,0.2384428,1.5581243,,,,,,,,,,,,,,,,,
37400,0.23752092,1.6401184,,,,,,,,,,,,,,,,,
37500,0.2034862,1.6295307,,,,,,,,,,,,,,,,,
37600,0.23227386,1.68461,,,,,,,,,,,,,,,,,
37700,0.27863875,1.5924499,,,,,,,,,,,,,,,,,
37800,0.20090322,1.5559411,,,,,,,,,,,,,,,,,
37900,0.21953382,1.647928,,,,,,,,,,,,,,,,,
38000,0.21060893,1.5868351,,,,,,,,,,,,,,,,,
38100,0.2226018,1.5650073,,,,,,,,,,,,,,,,,
38200,0.23237562,1.600386,,,,,,,,,,,,,,,,,
38300,0.2662395,1.5338473,,,,,,,,,,,,,,,,,
38400,0.300633,1.6255369,,,,,,,,,,,,,,,,,
38469,,,0.6727648377418518,1.51630437374115,33.57702211994276,0.6825829744338989,1.4531151056289673,29.894331808702585,3000.0,0.6969729065895081,1.3558398485183716,29.72420173476204,3003.0,5209.887976408005,10717.934951543808,5209.887976408005,5507.457628965378,0.2896111011505127,0.0
