global_step,grad_norm,loss,train/accuracy,train/loss,train/mean_average_precision,validation/accuracy,validation/loss,validation/mean_average_precision,validation/num_examples,test/accuracy,test/loss,test/mean_average_precision,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
25000,0.36004016,0.030011257,,,,,,,,,,,,,,,,,
25049,,,0.9920719861984252,0.0258435048162937,0.4944748962269836,0.9867526292800904,0.0446068122982978,0.278419455713718,43793.0,0.9860036373138428,0.047237005084753,0.2707135231711159,43793.0,4994.918184995651,6463.127646446228,4994.918184995651,1467.4583723545074,0.5645897388458252,0.0
25100,0.40158606,0.030857138,,,,,,,,,,,,,,,,,
25200,0.35351405,0.027838286,,,,,,,,,,,,,,,,,
25300,0.31323928,0.026083298,,,,,,,,,,,,,,,,,
25400,0.43598416,0.031843368,,,,,,,,,,,,,,,,,
25500,0.36114255,0.030416574,,,,,,,,,,,,,,,,,
25600,0.32897627,0.027329471,,,,,,,,,,,,,,,,,
25700,0.41640413,0.035066288,,,,,,,,,,,,,,,,,
25800,0.29707986,0.027198998,,,,,,,,,,,,,,,,,
25900,0.44722322,0.03094918,,,,,,,,,,,,,,,,,
26000,0.3520799,0.02792666,,,,,,,,,,,,,,,,,
26100,0.29946548,0.027088646,,,,,,,,,,,,,,,,,
26200,0.41720888,0.031809617,,,,,,,,,,,,,,,,,
26300,0.34085855,0.02639554,,,,,,,,,,,,,,,,,
26400,0.39386314,0.031028079,,,,,,,,,,,,,,,,,
26500,0.269496,0.027228823,,,,,,,,,,,,,,,,,
26600,0.32114133,0.025846137,,,,,,,,,,,,,,,,,
26700,0.35391933,0.030363051,,,,,,,,,,,,,,,,,
26800,0.33986905,0.02859604,,,,,,,,,,,,,,,,,
26900,0.34880978,0.028836273,,,,,,,,,,,,,,,,,
27000,0.31521943,0.026730623,,,,,,,,,,,,,,,,,
27100,0.43483672,0.02628611,,,,,,,,,,,,,,,,,
27200,0.32585055,0.027583491,,,,,,,,,,,,,,,,,
27300,0.36324248,0.026719246,,,,,,,,,,,,,,,,,
27341,,,0.9923580884933472,0.0251205489039421,0.512719800757803,0.9868863821029664,0.0440925173461437,0.2861864452395915,43793.0,0.986125349998474,0.0467149689793586,0.2768910937121453,43793.0,5446.995653152466,7019.48072052002,5446.995653152466,1571.6650083065033,0.6164278984069824,0.0
27341,,,,,,,,,,,,,,5446.995653152466,,,,,0.0
