global_step,grad_norm,loss,train/loss,train/ppl,validation/loss,validation/ppl,validation/num_examples,test/loss,test/ppl,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
25400,0.27508274,3.3186064,,,,,,,,,,,,,,
25500,0.26747057,3.1810899,,,,,,,,,,,,,,
25600,0.2697002,3.4319963,,,,,,,,,,,,,,
25700,0.27643016,3.3458269,,,,,,,,,,,,,,
25800,0.2773693,3.339384,,,,,,,,,,,,,,
25900,0.25852096,3.2646532,,,,,,,,,,,,,,
26000,0.30094987,3.3524537,,,,,,,,,,,,,,
26100,0.26349744,3.273455,,,,,,,,,,,,,,
26200,0.25586277,3.4388084,,,,,,,,,,,,,,
26300,0.26036114,3.3054018,,,,,,,,,,,,,,
26400,0.28003508,3.275672,,,,,,,,,,,,,,
26500,0.27264175,3.2722259,,,,,,,,,,,,,,
26600,0.2714621,3.3482912,,,,,,,,,,,,,,
26700,0.29627943,3.2992368,,,,,,,,,,,,,,
26800,0.29538056,3.2943835,,,,,,,,,,,,,,
26900,0.29576972,3.3681626,,,,,,,,,,,,,,
27000,0.2633636,3.3485703,,,,,,,,,,,,,,
27100,0.30315796,3.3438492,,,,,,,,,,,,,,
27200,0.27157706,3.3400834,,,,,,,,,,,,,,
27300,0.27108788,3.2706928,,,,,,,,,,,,,,
27400,0.2738416,3.3744636,,,,,,,,,,,,,,
27500,0.31592444,3.364014,,,,,,,,,,,,,,
27600,0.26726824,3.2994485,,,,,,,,,,,,,,
27700,0.2712284,3.4162035,,,,,,,,,,,,,,
27800,0.2998743,3.3383677,,,,,,,,,,,,,,
27900,0.29643467,3.278662,,,,,,,,,,,,,,
28000,0.262886,3.2239072,,,,,,,,,,,,,,
28100,0.2502465,3.365704,,,,,,,,,,,,,,
28200,0.26447725,3.3093953,,,,,,,,,,,,,,
28300,0.27621278,3.3402853,,,,,,,,,,,,,,
28400,0.25935715,3.2525716,,,,,,,,,,,,,,
28500,0.2876522,3.3024573,,,,,,,,,,,,,,
28600,0.27169704,3.3351452,,,,,,,,,,,,,,
28700,0.26190856,3.246811,,,,,,,,,,,,,,
28800,0.287468,3.1614652,,,,,,,,,,,,,,
28900,0.29325825,3.3075619,,,,,,,,,,,,,,
29000,0.28050393,3.237434,,,,,,,,,,,,,,
29100,0.3005105,3.267563,,,,,,,,,,,,,,
29200,0.31710774,3.1798024,,,,,,,,,,,,,,
29300,0.28408468,3.3778496,,,,,,,,,,,,,,
29400,0.26038823,3.1690822,,,,,,,,,,,,,,
29500,0.28661036,3.217071,,,,,,,,,,,,,,
29600,0.40660784,3.2689161,,,,,,,,,,,,,,
29700,0.28767166,3.3378313,,,,,,,,,,,,,,
29800,0.2801628,3.2954443,,,,,,,,,,,,,,
29900,0.2701686,3.2976143,,,,,,,,,,,,,,
30000,0.27762976,3.1945353,,,,,,,,,,,,,,
30100,0.2788159,3.3087986,,,,,,,,,,,,,,
30200,0.2715119,3.2794213,,,,,,,,,,,,,,
30300,0.2764067,3.3353677,,,,,,,,,,,,,,
30400,0.30527893,3.4545188,,,,,,,,,,,,,,
30500,0.28310764,3.354717,,,,,,,,,,,,,,
30600,0.28815174,3.2410703,,,,,,,,,,,,,,
30700,0.29766762,3.226495,,,,,,,,,,,,,,
30800,0.30250356,3.4959645,,,,,,,,,,,,,,
30900,0.29026362,3.2957106,,,,,,,,,,,,,,
31000,0.29929936,3.2025185,,,,,,,,,,,,,,
31100,0.31342983,3.279838,,,,,,,,,,,,,,
31200,0.28595805,3.1688635,,,,,,,,,,,,,,
31300,0.2999318,3.2800636,,,,,,,,,,,,,,
31400,0.27904007,3.267499,,,,,,,,,,,,,,
31500,0.28621355,3.274082,,,,,,,,,,,,,,
31600,0.30572304,3.2457156,,,,,,,,,,,,,,
31700,0.2813176,3.3193922,,,,,,,,,,,,,,
31800,0.33624887,3.3057384,,,,,,,,,,,,,,
31900,0.28237846,3.2729867,,,,,,,,,,,,,,
32000,0.28601217,3.2395177,,,,,,,,,,,,,,
32100,0.27492705,3.2546735,,,,,,,,,,,,,,
32200,0.2977795,3.1091714,,,,,,,,,,,,,,
32300,0.31036773,3.3455412,,,,,,,,,,,,,,
