global_step,grad_norm,loss,train/loss,train/ppl,validation/loss,validation/ppl,validation/num_examples,test/loss,test/ppl,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
21100,0.26181543,3.3624983,,,,,,,,,,,,,,
21200,0.2747297,3.3548112,,,,,,,,,,,,,,
21300,0.25558373,3.3256497,,,,,,,,,,,,,,
21400,0.2785293,3.4393587,,,,,,,,,,,,,,
21500,0.2915888,3.453819,,,,,,,,,,,,,,
21600,0.26160243,3.2176597,,,,,,,,,,,,,,
21700,0.2933349,3.2500541,,,,,,,,,,,,,,
21800,0.25854427,3.24166,,,,,,,,,,,,,,
21900,0.30407622,3.259905,,,,,,,,,,,,,,
22000,0.25686774,3.379626,,,,,,,,,,,,,,
22100,0.26398775,3.4332032,,,,,,,,,,,,,,
22200,0.2760008,3.3092256,,,,,,,,,,,,,,
22300,0.26540166,3.2590823,,,,,,,,,,,,,,
22400,0.27843082,3.2905774,,,,,,,,,,,,,,
22500,0.25208688,3.2016869,,,,,,,,,,,,,,
22600,0.2649528,3.239669,,,,,,,,,,,,,,
22700,0.28070778,3.2334354,,,,,,,,,,,,,,
22800,0.29455248,3.3327692,,,,,,,,,,,,,,
22879,,,3.2328555583953857,25.35194767369753,3.232539176940918,25.34392805631494,100000.0,0.0,1.0,0.0,5162.400691509247,6151.4157066345215,5162.400691509247,988.784955739975,0.0852296352386474,0.0
22900,0.26444277,3.3840344,,,,,,,,,,,,,,
23000,0.33829415,3.3712316,,,,,,,,,,,,,,
23100,0.28093532,3.286851,,,,,,,,,,,,,,
23200,0.30706137,3.3149471,,,,,,,,,,,,,,
23300,0.30754748,3.401377,,,,,,,,,,,,,,
23400,0.2936447,3.2801485,,,,,,,,,,,,,,
23500,0.26238713,3.3153093,,,,,,,,,,,,,,
23600,0.27021572,3.2444708,,,,,,,,,,,,,,
23700,0.26135176,3.3871202,,,,,,,,,,,,,,
23800,0.27867714,3.3549907,,,,,,,,,,,,,,
23900,0.27624926,3.2850373,,,,,,,,,,,,,,
24000,0.2832588,3.3102498,,,,,,,,,,,,,,
24100,0.28707066,3.2650275,,,,,,,,,,,,,,
24200,0.28113556,3.3552964,,,,,,,,,,,,,,
24300,0.29242927,3.1563325,,,,,,,,,,,,,,
24400,0.26714236,3.3133016,,,,,,,,,,,,,,
24500,0.27859962,3.3721309,,,,,,,,,,,,,,
24600,0.27774256,3.350803,,,,,,,,,,,,,,
24700,0.26720434,3.2339175,,,,,,,,,,,,,,
24800,0.28560776,3.295075,,,,,,,,,,,,,,
24900,0.2933561,3.315425,,,,,,,,,,,,,,
25000,0.27397633,3.343297,,,,,,,,,,,,,,
25100,0.33925226,3.3427851,,,,,,,,,,,,,,
25200,0.2855336,3.2599592,,,,,,,,,,,,,,
25300,0.28144863,3.2958336,,,,,,,,,,,,,,
25400,0.30569458,3.378293,,,,,,,,,,,,,,
25500,0.27386665,3.202858,,,,,,,,,,,,,,
25600,0.28893176,3.1896775,,,,,,,,,,,,,,
25700,0.38690522,3.3764534,,,,,,,,,,,,,,
25800,0.27693853,3.3552885,,,,,,,,,,,,,,
25900,0.2720294,3.248506,,,,,,,,,,,,,,
26000,0.2652824,3.3888037,,,,,,,,,,,,,,
26100,0.27368414,3.1301093,,,,,,,,,,,,,,
26200,0.2662116,3.2662516,,,,,,,,,,,,,,
