global_step,grad_norm,loss,train/accuracy,train/loss,train/bleu,validation/accuracy,validation/loss,validation/bleu,validation/num_examples,test/accuracy,test/loss,test/bleu,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
21000,0.18422914,1.7354028,,,,,,,,,,,,,,,,,
21100,0.20588644,1.7162545,,,,,,,,,,,,,,,,,
21200,0.21839777,1.7116401,,,,,,,,,,,,,,,,,
21300,0.21355778,1.7257962,,,,,,,,,,,,,,,,,
21400,0.18051133,1.7746674,,,,,,,,,,,,,,,,,
21500,0.21084079,1.8203903,,,,,,,,,,,,,,,,,
21600,0.2879564,1.7003415,,,,,,,,,,,,,,,,,
21700,0.1784498,1.700777,,,,,,,,,,,,,,,,,
21800,0.21715707,1.7236375,,,,,,,,,,,,,,,,,
21900,0.17480986,1.8131933,,,,,,,,,,,,,,,,,
22000,0.1899922,1.7239128,,,,,,,,,,,,,,,,,
22100,0.18991308,1.7393686,,,,,,,,,,,,,,,,,
22200,0.19155036,1.7503066,,,,,,,,,,,,,,,,,
22300,0.19167225,1.6644125,,,,,,,,,,,,,,,,,
22400,0.22248542,1.6889172,,,,,,,,,,,,,,,,,
22500,0.19214632,1.6473087,,,,,,,,,,,,,,,,,
22600,0.19965212,1.7129251,,,,,,,,,,,,,,,,,
22700,0.28326845,1.6788194,,,,,,,,,,,,,,,,,
22800,0.17433017,1.687718,,,,,,,,,,,,,,,,,
22900,0.18707329,1.731161,,,,,,,,,,,,,,,,,
23000,0.20440513,1.7984962,,,,,,,,,,,,,,,,,
23100,0.17868252,1.6044003,,,,,,,,,,,,,,,,,
23200,0.20808473,1.8045455,,,,,,,,,,,,,,,,,
23300,0.18271637,1.6659702,,,,,,,,,,,,,,,,,
23400,0.20759708,1.7553042,,,,,,,,,,,,,,,,,
23500,0.19672999,1.6372143,,,,,,,,,,,,,,,,,
23600,0.23946404,1.8043158,,,,,,,,,,,,,,,,,
23700,0.23269176,1.7505237,,,,,,,,,,,,,,,,,
23800,0.24464358,1.6862788,,,,,,,,,,,,,,,,,
23900,0.21861131,1.7029699,,,,,,,,,,,,,,,,,
23965,,,0.6616091728210449,1.6041452884674072,32.809315698265266,0.6715229749679565,1.524869680404663,29.085588130112747,3000.0,0.6868746876716614,1.4323115348815918,28.80659166677912,3003.0,3278.371188402176,6926.66397023201,3278.371188402176,3647.8650534152985,0.2417182922363281,0.0
24000,0.2077388,1.6703646,,,,,,,,,,,,,,,,,
